No.,Track Name,Artist,Year Released,Album:,Spotify Link:,Youtube Link:
14-01,I Heard It Through The Grapevine,Marvin Gaye,1968,Motown 50 – Disc 1,https://open.spotify.com/search/I%20Heard%20It%20Through%20The%20Grapevine%20Marvin%20Gaye,https://www.youtube.com/results?search_query=I%20Heard%20It%20Through%20The%20Grapevine%20Marvin%20Gaye%20music%20video
14-02,Dancing In The Street,Martha Reeves,1964,Motown 50 – Disc 1,https://open.spotify.com/search/Dancing%20In%20The%20Street%20Martha%20Reeves,https://www.youtube.com/results?search_query=Dancing%20In%20The%20Street%20Martha%20Reeves%20music%20video
14-03,Baby Love,The Supremes,1964,Motown 50 – Disc 1,https://open.spotify.com/search/Baby%20Love%20The%20Supremes,https://www.youtube.com/results?search_query=Baby%20Love%20The%20Supremes%20music%20video
14-04,I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,1965,Motown 50 – Disc 1,https://open.spotify.com/search/I%20Can't%20Help%20Myself%20(Sugar%20Pie%20Honey%20Bunch)%20Four%20Tops,https://www.youtube.com/results?search_query=I%20Can't%20Help%20Myself%20(Sugar%20Pie%20Honey%20Bunch)%20Four%20Tops%20music%20video
14-05,Needle In A Haystack,The Velvelettes,1964,Motown 50 – Disc 1,https://open.spotify.com/search/Needle%20In%20A%20Haystack%20The%20Velvelettes,https://www.youtube.com/results?search_query=Needle%20In%20A%20Haystack%20The%20Velvelettes%20music%20video
14-06,Get Ready,The Temptations,1966,Motown 50 – Disc 1,https://open.spotify.com/search/Get%20Ready%20The%20Temptations,https://www.youtube.com/results?search_query=Get%20Ready%20The%20Temptations%20music%20video
14-07,You Can't Hurry Love,The Supremes,1966,Motown 50 – Disc 1,https://open.spotify.com/search/You%20Can't%20Hurry%20Love%20The%20Supremes,https://www.youtube.com/results?search_query=You%20Can't%20Hurry%20Love%20The%20Supremes%20music%20video
14-08,Heaven Must Have Sent You,The Elgins,1966,Motown 50 – Disc 1,https://open.spotify.com/search/Heaven%20Must%20Have%20Sent%20You%20The%20Elgins,https://www.youtube.com/results?search_query=Heaven%20Must%20Have%20Sent%20You%20The%20Elgins%20music%20video
14-09,Nowhere To Run,Martha Reeves,1965,Motown 50 – Disc 1,https://open.spotify.com/search/Nowhere%20To%20Run%20Martha%20Reeves,https://www.youtube.com/results?search_query=Nowhere%20To%20Run%20Martha%20Reeves%20music%20video
14-10,Jimmy Mack,Martha Reeves,1967,Motown 50 – Disc 1,https://open.spotify.com/search/Jimmy%20Mack%20Martha%20Reeves,https://www.youtube.com/results?search_query=Jimmy%20Mack%20Martha%20Reeves%20music%20video
14-11,This Old Heart Of Mine,The Isley Brothers,1966,Motown 50 – Disc 1,https://open.spotify.com/search/This%20Old%20Heart%20Of%20Mine%20The%20Isley%20Brothers,https://www.youtube.com/results?search_query=This%20Old%20Heart%20Of%20Mine%20The%20Isley%20Brothers%20music%20video
14-12,Tears Of A Clown,Smokey Robinson,1970,Motown 50 – Disc 1,https://open.spotify.com/search/Tears%20Of%20A%20Clown%20Smokey%20Robinson,https://www.youtube.com/results?search_query=Tears%20Of%20A%20Clown%20Smokey%20Robinson%20music%20video
14-13,ABC,Jackson 5,1970,Motown 50 – Disc 1,https://open.spotify.com/search/ABC%20Jackson%205,https://www.youtube.com/results?search_query=ABC%20Jackson%205%20music%20video
14-14,It Takes Two,Marvin Gaye & Kim Weston,1966,Motown 50 – Disc 1,https://open.spotify.com/search/It%20Takes%20Two%20Marvin%20Gaye%20&%20Kim%20Weston,https://www.youtube.com/results?search_query=It%20Takes%20Two%20Marvin%20Gaye%20&%20Kim%20Weston%20music%20video
14-15,My Guy,Mary Wells,1964,Motown 50 – Disc 1,https://open.spotify.com/search/My%20Guy%20Mary%20Wells,https://www.youtube.com/results?search_query=My%20Guy%20Mary%20Wells%20music%20video
14-16,Do You Love Me,The Contours,1962,Motown 50 – Disc 1,https://open.spotify.com/search/Do%20You%20Love%20Me%20The%20Contours,https://www.youtube.com/results?search_query=Do%20You%20Love%20Me%20The%20Contours%20music%20video
14-17,Do I Love You,Frank Wilson,1965,Motown 50 – Disc 1,https://open.spotify.com/search/Do%20I%20Love%20You%20Frank%20Wilson,https://www.youtube.com/results?search_query=Do%20I%20Love%20You%20Frank%20Wilson%20music%20video
14-18,There's A Ghost In My House,R. Dean Taylor,1967,Motown 50 – Disc 1,https://open.spotify.com/search/There's%20A%20Ghost%20In%20My%20House%20R.%20Dean%20Taylor,https://www.youtube.com/results?search_query=There's%20A%20Ghost%20In%20My%20House%20R.%20Dean%20Taylor%20music%20video
14-19,Stop! In The Name Of Love,The Supremes,1965,Motown 50 – Disc 1,https://open.spotify.com/search/Stop!%20In%20The%20Name%20Of%20Love%20The%20Supremes,https://www.youtube.com/results?search_query=Stop!%20In%20The%20Name%20Of%20Love%20The%20Supremes%20music%20video
14-20,Shotgun,Jr. Walker & The All Stars,1965,Motown 50 – Disc 1,https://open.spotify.com/search/Shotgun%20Jr.%20Walker%20&%20The%20All%20Stars,https://www.youtube.com/results?search_query=Shotgun%20Jr.%20Walker%20&%20The%20All%20Stars%20music%20video
14-21,"Signed, Sealed, Delivered",Stevie Wonder,1970,Motown 50 – Disc 1,"https://open.spotify.com/search/Signed,%20Sealed,%20Delivered%20Stevie%20Wonder","https://www.youtube.com/results?search_query=Signed,%20Sealed,%20Delivered%20Stevie%20Wonder%20music%20video"
14-22,I Want You Back,Jackson 5,1969,Motown 50 – Disc 1,https://open.spotify.com/search/I%20Want%20You%20Back%20Jackson%205,https://www.youtube.com/results?search_query=I%20Want%20You%20Back%20Jackson%205%20music%20video
14-23,You Are Everything,Diana Ross & Marvin Gaye,1971,Motown 50 – Disc 1,https://open.spotify.com/search/You%20Are%20Everything%20Diana%20Ross%20&%20Marvin%20Gaye,https://www.youtube.com/results?search_query=You%20Are%20Everything%20Diana%20Ross%20&%20Marvin%20Gaye%20music%20video
14-24,Ain't No Mountain High Enough,Diana Ross,1970,Motown 50 – Disc 1,https://open.spotify.com/search/Ain't%20No%20Mountain%20High%20Enough%20Diana%20Ross,https://www.youtube.com/results?search_query=Ain't%20No%20Mountain%20High%20Enough%20Diana%20Ross%20music%20video
15-01,Superstition,Stevie Wonder,1972,Motown 50 – Disc 2,https://open.spotify.com/search/Superstition%20Stevie%20Wonder,https://www.youtube.com/results?search_query=Superstition%20Stevie%20Wonder%20music%20video
15-02,Papa Was A Rollin' Stone,The Temptations,1972,Motown 50 – Disc 2,https://open.spotify.com/search/Papa%20Was%20A%20Rollin'%20Stone%20The%20Temptations,https://www.youtube.com/results?search_query=Papa%20Was%20A%20Rollin'%20Stone%20The%20Temptations%20music%20video
15-03,What's Going On,Marvin Gaye,1971,Motown 50 – Disc 2,https://open.spotify.com/search/What's%20Going%20On%20Marvin%20Gaye,https://www.youtube.com/results?search_query=What's%20Going%20On%20Marvin%20Gaye%20music%20video
